unidade;ano;mes;grupo;subgrupo;exames
CHPB;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;135
CHPB;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;198
CHPB;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;5
CHPB;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1733
CHPB;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;10
CHPB;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1629
CHPB;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;14
CHPB;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;14
CHPB;2024;7;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;14
CHPB;2024;8;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1698
CHPB;2024;8;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;9
CHPB;2024;8;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1867
CHPB;2024;8;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;18
CHPB;2024;8;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;9
CHPB;2024;8;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;319
CHPB;2024;9;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1475
CHPB;2024;9;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;11
CHPB;2024;9;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1741
CHPB;2024;9;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;23
CHPB;2024;9;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;11
CHPB;2024;9;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;343
CHPB;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1794
CHPB;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;11
CHPB;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico por ressonância magnética;2
CHPB;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1633
CHPB;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;29
CHPB;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;13
CHPB;2024;10;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;456
CHPB;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2166
CHPB;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico por endoscopia;2
CHPB;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;18
CHPB;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1515
CHPB;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;18
CHPB;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;9
CHPB;2024;11;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;456
CHPB;2024;12;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1703
CHPB;2024;12;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;15
CHPB;2024;12;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1605
CHPB;2024;12;Procedimentos com finalidade diagnóstica;Diagnóstico por tomografia;15
